IntrudersWon,GuardsWon,turnsIntruders,turnsGuards
1,0,8223,8222
1,0,1419,1418
1,0,2750,2749
1,0,10947,10946
1,0,8657,8656
1,0,3609,3608
1,0,2630,2629
1,0,5791,5790
1,0,5608,5607
1,0,5773,5772
1,0,794,793
0,1,7092,7092
1,0,2366,2365
1,0,201448,201447
1,0,2959,2958
0,1,1042,1042
1,0,1220,1219
1,0,8424,8423
1,0,1675,1674
1,0,7876,7875
1,0,804,803
1,0,6966,6965
1,0,573467,573466
0,1,860,860
0,1,1351,1351
1,0,4269,4268
1,0,4851,4850
1,0,1264,1263
0,1,1629,1629
1,0,570,569
0,1,6322,6322
1,0,4837,4836
1,0,3838,3837
1,0,3897,3896
1,0,3217,3216
1,0,2411,2410
1,0,3456,3455
1,0,2732,2731
1,0,3569,3568
1,0,1867,1866
1,0,6272,6271
1,0,377507,377506
1,0,2921,2920
1,0,2023,2022
0,1,2196,2196
0,1,2594,2594
1,0,3249,3248
0,1,409,409
1,0,852827,852826
1,0,502,501
0,1,1447,1447
1,0,2578,2577
1,0,1444,1443
1,0,2502,2501
1,0,3046,3045
1,0,7567,7566
1,0,3429,3428
1,0,4144,4143
1,0,1443,1442
1,0,4258,4257
0,1,5428,5428
1,0,4736,4735
1,0,1620,1619
1,0,6483,6482
1,0,7454,7453
1,0,1684,1683
1,0,204149,204148
1,0,4143,4142
0,1,5958,5958
1,0,140277,140276
1,0,1567,1566
1,0,3734,3733
1,0,8800,8799
0,1,4055,4055
1,0,4735,4734
1,0,5153,5152
0,1,1946,1946
1,0,8714,8713
1,0,2800,2799
1,0,1203,1202
1,0,1361,1360
1,0,7877,7876
1,0,93542,93541
1,0,200177,200176
1,0,149494,149493
1,0,32839,32838
1,0,851929,851928
1,0,3680,3679
0,1,2683,2683
1,0,14787,14786
1,0,8144,8143
0,1,2685,2685
1,0,6532,6531
0,1,615,615
1,0,2392,2391
0,1,875,875
1,0,4509,4508
1,0,977,976
1,0,156695,156694
0,1,6348,6348
1,0,3368,3367
1,0,1466,1465
1,0,1024,1023
0,1,1976,1976
1,0,3106,3105
1,0,3694,3693
1,0,2145,2144
1,0,2262,2261
1,0,2503,2502
1,0,795,794
0,1,552,552
0,1,1236,1236
0,1,3731,3731
1,0,13439,13438
1,0,11555,11554
1,0,203265,203264
0,1,1591,1591
1,0,2947,2946
1,0,168764,168763
1,0,16242,16241
0,1,1870,1870
1,0,4402,4401
1,0,4491,4490
1,0,10651,10650
0,1,3873,3873
1,0,1500,1499
1,0,5650,5649
0,1,1906,1906
1,0,4472,4471
0,1,1012,1012
1,0,1871,1870
0,1,7605,7605
1,0,6237,6236
1,0,2820,2819
1,0,155345,155344
1,0,1094,1093
0,1,1684,1684
1,0,1643,1642
1,0,22908,22907
1,0,5294,5293
1,0,1751,1750
1,0,4810,4809
1,0,6462,6461
0,1,1002,1002
1,0,4949,4948
1,0,662,661
0,1,401792,401792
1,0,662073,662072
1,0,810,809
1,0,366524,366523
1,0,1313,1312
0,1,3425,3425
1,0,2452,2451
1,0,100951,100950
1,0,9871,9870
1,0,131229,131228
1,0,5232,5231
0,1,5155,5155
1,0,13318,13317
1,0,9159,9158
1,0,1905,1904
1,0,299,298
0,1,1011,1011
0,1,2218,2218
1,0,60104,60103
0,1,2444,2444
1,0,804,803
1,0,3157,3156
1,0,2944,2943
1,0,5060,5059
1,0,26965,26964
1,0,398216,398215
1,0,3437,3436
0,1,13754,13754
1,0,1288,1287
0,1,1885,1885
0,1,1706,1706
0,1,2327,2327
1,0,2933,2932
1,0,3145,3144
1,0,46021,46020
1,0,4627,4626
1,0,2928,2927
1,0,7204,7203
0,1,4049,4049
1,0,1800,1799
1,0,10188,10187
1,0,1128,1127
1,0,3632,3631
1,0,2284,2283
1,0,3136,3135
1,0,2532,2531
1,0,3120,3119
0,1,4285,4285
1,0,150914,150913
1,0,831,830
0,1,3049,3049
1,0,5186,5185
1,0,2215,2214
0,1,4609,4609
